GeneID,150-2,150-3,33-1,33-2,33-3,con-1,con-2,con-3
ANO9,0.8353353353353354,0.8183183183183182,0.8048048048048049,0.7692692692692693,0.6191191191191192,0.6576576576576576,0.9129129129129129,0.8838838838838838
ANO8,0.0,0.8183183183183182,0.0,0.0,0.7257257257257257,0.6931931931931932,0.7517517517517518,0.6196196196196196
ANO7,0.0,0.8183183183183182,0.0,0.7287287287287287,0.539039039039039,0.0,0.0,0.0
ANO6,0.0,0.0,0.8048048048048049,0.8653653653653653,0.8618618618618619,0.8883883883883883,0.7647647647647647,0.7927927927927927
ANO5,0.0,0.0,0.0,0.0,0.539039039039039,0.0,0.0,0.0
ANO4,0.0,0.0,0.0,0.0,0.0,0.0,0.6391391391391391,0.0
ANO3-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANO10,0.0,0.0,0.7272272272272272,0.7287287287287287,0.5825825825825826,0.0,0.0,0.6196196196196196
ANO1,0.8353353353353354,0.0,0.0,0.8653653653653653,0.8103103103103103,0.6576576576576576,0.7517517517517518,0.7197197197197197
ANLN,0.8918918918918919,0.9079079079079079,0.7847847847847849,0.8403403403403403,0.9379379379379379,0.914914914914915,0.8928928928928929,0.8228228228228228
ANKZF1,0.0,0.0,0.8743743743743744,0.6531531531531531,0.6476476476476476,0.7962962962962963,0.7872872872872873,0.6496496496496497
ANKUB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKS6,0.0,0.8183183183183182,0.7272272272272272,0.0,0.7347347347347347,0.7487487487487487,0.0,0.7372372372372372
ANKS4B,0.0,0.0,0.91991991991992,0.0,0.8823823823823824,0.8363363363363363,0.8283283283283283,0.8763763763763763
ANKS3,0.9589589589589589,0.0,0.8898898898898899,0.8698698698698699,0.7572572572572572,0.7702702702702703,0.9054054054054055,0.8838838838838838
ANKS1B,0.980980980980981,0.97997997997998,0.9669669669669669,0.963963963963964,0.9678032589289862,0.9688047208715213,0.9612977128122555,0.9735457168544158
ANKS1A,0.0,0.0,0.0,0.6531531531531531,0.6601601601601601,0.6931931931931932,0.6391391391391391,0.0
ANKRD9,0.7892892892892893,0.8613613613613613,0.7587587587587588,0.7692692692692693,0.8103103103103103,0.8463463463463463,0.8413413413413413,0.7927927927927927
ANKRD7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
