"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneID"
"BTN3A2",158.086992764053,-1.57185156564679,0.354435112372846,-4.43480770041001,9.21545104251883e-06,0.00062613967493831,"BTN3A2"
"RINL",3599.08865315151,0.699310462004062,0.157735978896206,4.43342392076714,9.27482453132273e-06,0.00062613967493831,"RINL"
"SMC1A",327.152333028125,0.916934896271182,0.206856060180778,4.43271952230862,9.30518817788496e-06,0.00062613967493831,"SMC1A"
"INTS1",159.482484439577,1.27592223150595,0.28806627804808,4.42926620967758,9.45542509991553e-06,0.000632272457149977,"INTS1"
"PKP3",1805.01722041837,0.807472915562393,0.183222719511866,4.40705671061769,1.04784760225987e-05,0.000695107966383714,"PKP3"
"RANBP9",228.359953010619,1.03212230494762,0.234248726636744,4.40609569053565,1.05250481871354e-05,0.000695107966383714,"RANBP9"
"POLR2L",336.457703884358,1.06593892577386,0.242212881101739,4.40083500483249,1.07835100776368e-05,0.000707808431414947,"POLR2L"
"CNN2",2536.78934219554,0.714407608283649,0.162533324936032,4.39545310824606,1.1054192594586e-05,0.000719840661518636,"CNN2"
"PNCK",359.473132633482,0.96726029637767,0.220105631266851,4.3945277129461,1.1101384162125e-05,0.000719840661518636,"PNCK"
"ONECUT3",318.981835581336,0.900720795004434,0.205613725645553,4.38064527149876,1.18328371710848e-05,0.000758080987385845,"ONECUT3"
"TNFSF9",667.21224638289,0.977410451880622,0.223089261974996,4.38125279194374,1.17998871195232e-05,0.000758080987385845,"TNFSF9"
"LILRB4",209.48378192602,-1.23071870827258,0.2811659211479,-4.37719729065313,1.20215150493182e-05,0.000764652201652873,"LILRB4"
"LRRC25",123.220382358357,1.19283533796148,0.272575253960568,4.37616885843217,1.2078345834128e-05,0.000764652201652873,"LRRC25"
"RP1L1",161.705977199797,1.24043255556338,0.283601408444263,4.37385893944587,1.22069272619892e-05,0.000768246557506017,"RP1L1"
"NOL6",509.643455784546,0.904980305838083,0.208345989428821,4.34364159501741,1.40140080145957e-05,0.000876817963439529,"NOL6"
"WIPF2",727.068725677361,0.729935422809831,0.168119334912912,4.34176963160095,1.41339686470849e-05,0.00087918215439047,"WIPF2"
"SIGMAR1",798.350922416097,0.685073678240633,0.158019563396742,4.33537255460332,1.45513461927693e-05,0.000899912444603692,"SIGMAR1"
"PFDN5",894.171971550229,0.700118898891195,0.161823907684084,4.32642437641526,1.51549316558505e-05,0.000931854102218074,"PFDN5"
"ZNF234",201.974307101553,1.06181957753288,0.245949974673993,4.31721767379859,1.58008318008921e-05,0.000966017711072827,"ZNF234"
"ATP5F1D",233.98170190337,1.04458089829571,0.243311482547393,4.29318373041537,1.76129138717489e-05,0.00107068503132865,"ATP5F1D"
"SH2D3A",384.166468280728,0.869265306723643,0.202562917001722,4.29133485827641,1.77602258384587e-05,0.0010735404307665,"SH2D3A"
"RAB3IL1",268.308545859505,0.896936942036518,0.209628283813621,4.27870192761765,1.87986403111388e-05,0.00112577540415551,"RAB3IL1"
"ZSCAN25",1381.38425051599,-0.59299401792654,0.138605906300147,-4.27827380344406,1.88348254363806e-05,0.00112577540415551,"ZSCAN25"
"INTS6",40.719440072746,-2.71900340271849,0.637903701013233,-4.26240418169651,2.02239224784031e-05,0.00120208748109131,"INTS6"
"CD151",1885.96053724435,0.851841180473894,0.200728386214711,4.24375045571639,2.19814785335587e-05,0.0012993361261356,"CD151"
"TBRG1",40.9057737151854,1.96542354626422,0.463296435331792,4.24225915931485,2.21280952326857e-05,0.00130081588403574,"TBRG1"
"PCYT1B",274.398344575489,-1.02941592656967,0.242760602649742,-4.24045712250487,2.23065044081114e-05,0.0013041382003409,"PCYT1B"
"CCT5",7866.99153904575,0.569974445850825,0.134770310767601,4.22922854896206,2.34494030471968e-05,0.00133449554894659,"CCT5"
"JAG1",350.871376373362,0.795442555437441,0.187915968971485,4.23296944794587,2.30625845257954e-05,0.00133449554894659,"JAG1"
"MACROH2A1",10.0183264974913,6.5432628764531,1.54647665492017,4.23107769240194,2.32574316426153e-05,0.00133449554894659,"MACROH2A1"
"S1PR5",287.215381771967,0.93585424967012,0.221259269819139,4.22967250337173,2.34031762311034e-05,0.00133449554894659,"S1PR5"
"SKAP1",124.843684688378,1.39811883114631,0.330313924152537,4.23269722804864,2.30905266430698e-05,0.00133449554894659,"SKAP1"
"BRIX1",643.581856578431,0.781209487230158,0.184987731214387,4.22303404718659,2.41035391091097e-05,0.00135339437451411,"BRIX1"
"SYN3",32.4348456663208,-3.06544866268655,0.725979938092524,-4.22249776039385,2.41609800478732e-05,0.00135339437451411,"SYN3"
"TPP2",5.29179954170979,7.47123087043397,1.76911342205154,4.22314972986301,2.4091165544868e-05,0.00135339437451411,"TPP2"
"H3C7",3398.23502017578,0.857554590641709,0.203399065773883,4.21611863053023,2.48543048460618e-05,0.00138498024764591,"H3C7"
"LOC728975",229.011849992919,0.989523174127653,0.235072406604254,4.20943992713498,2.56004495624398e-05,0.00141185159726053,"LOC728975"
"RAD54L2",127.533446921223,1.19678113632158,0.284291424342844,4.20969833714826,2.55711879835169e-05,0.00141185159726053,"RAD54L2"
"KRT1",8.58376061877883,4.99134811971122,1.18640755465195,4.20711087024014,2.58656260210434e-05,0.00141916068102125,"KRT1"
"CCR7",425.247354969064,0.737118230044106,0.175517719159794,4.1996798589493,2.67292636064164e-05,0.00145906322104617,"CCR7"
"PSMD13",2059.80339486917,0.592815637873284,0.141400008212729,4.19247244301021,2.75930608808594e-05,0.00149856933179855,"PSMD13"
"ANKRD9",1148.30441829655,0.648269970476664,0.15476622125262,4.18870451982228,2.80551404310641e-05,0.00150695111626858,"ANKRD9"
"HOXB3",51.2702469033265,-2.28959884600941,0.546733637332133,-4.18777753858687,2.81699432894397e-05,0.00150695111626858,"HOXB3"
"PPP1R13L",490.261363166601,0.844224784801936,0.201575292756328,4.18813622075434,2.81254690883177e-05,0.00150695111626858,"PPP1R13L"
"CPVL",76.3357981690229,-1.63682358799113,0.392480955285444,-4.17045353653069,3.03994033129172e-05,0.00161812545295971,"CPVL"
"ABCA7",57.2895112524754,1.76019225802297,0.422280849198299,4.1682976184326,3.06883068034807e-05,0.00162541680440812,"ABCA7"
